,leiden
1,1
2,6
3,1
4,1
5,1
6,1
7,1
8,3
9,1
10,1
11,4
12,1
13,1
14,1
15,3
16,1
17,5
18,1
19,1
20,3
21,1
22,1
23,1
24,4
25,5
26,6
27,4
28,1
29,1
30,1
31,1
32,1
33,6
34,1
35,1
36,1
37,1
38,6
39,1
40,1
41,1
42,3
43,1
44,1
45,4
46,3
47,4
48,4
49,1
50,3
51,3
52,2
53,3
54,5
55,5
56,4
57,1
58,1
59,1
60,3
61,1
62,4
63,1
64,5
65,4
66,4
67,4
68,1
69,1
70,2
71,3
72,5
73,2
74,0
75,1
76,1
77,4
78,3
79,1
80,1
81,4
82,1
83,1
84,2
85,1
86,2
87,1
88,3
89,5
90,2
91,5
92,2
93,4
94,1
95,0
96,6
97,3
98,5
99,1
100,2
101,4
102,3
103,1
104,1
105,2
106,3
107,3
108,4
109,6
110,2
111,5
112,4
113,1
114,2
115,5
116,6
117,0
118,6
119,3
120,2
121,6
122,2
123,1
124,0
125,4
126,2
127,2
128,1
129,5
130,1
131,2
132,1
133,3
134,1
135,0
136,5
137,5
138,4
139,7
140,7
141,2
142,9
143,6
144,2
145,5
146,9
147,1
148,3
149,0
150,2
151,6
152,2
153,4
154,6
155,3
156,6
157,4
158,0
159,5
160,3
161,5
162,1
163,6
164,4
165,3
166,5
167,5
168,6
169,1
170,9
171,5
172,0
173,0
174,9
175,5
176,0
177,4
178,0
179,5
180,5
181,1
182,5
183,4
184,2
185,4
186,5
187,3
188,2
189,5
190,0
191,4
192,5
193,1
194,5
195,0
196,1
197,5
198,0
199,0
200,0
201,2
202,2
203,1
204,0
205,3
206,0
207,5
208,0
209,2
210,6
211,1
212,5
213,5
214,7
215,7
216,3
217,2
218,0
219,3
220,5
221,0
222,0
223,3
224,4
225,2
226,5
227,0
228,3
229,6
230,0
231,4
232,3
233,1
234,4
235,0
236,8
237,0
238,4
239,6
240,6
241,2
242,1
243,4
244,4
245,4
246,6
247,0
248,0
249,2
250,0
251,9
252,5
253,0
254,8
255,0
256,5
257,0
258,1
259,4
260,2
261,0
262,6
263,0
264,0
265,3
266,0
267,4
268,0
269,4
270,3
271,2
272,0
273,0
274,4
275,5
276,3
277,0
278,5
279,5
280,9
281,4
282,0
283,2
284,1
285,0
286,0
287,4
288,4
289,4
290,6
291,0
292,4
293,5
294,5
295,0
296,3
297,0
298,9
299,4
300,4
301,5
302,1
303,5
304,2
305,0
306,4
307,2
308,0
309,4
310,0
311,3
312,3
313,2
314,0
315,3
316,4
317,5
318,5
319,0
320,0
321,4
322,3
323,3
324,0
325,1
326,9
327,6
328,0
329,2
330,7
331,0
332,0
333,0
334,0
335,0
336,5
337,1
338,6
339,3
340,0
341,9
342,1
343,8
344,0
345,0
346,1
347,0
348,1
349,0
350,9
351,4
352,5
353,4
354,4
355,3
356,5
357,0
358,1
359,7
360,3
361,5
362,0
363,3
364,0
365,4
366,9
367,0
368,0
369,4
370,3
371,6
372,3
373,0
374,2
375,9
376,3
377,7
378,5
379,4
380,0
381,0
382,0
383,0
384,8
385,0
386,3
387,3
388,4
389,0
390,3
391,4
392,3
393,0
394,8
395,0
396,1
397,6
398,0
399,4
400,3
401,0
402,1
403,0
404,0
405,0
406,4
407,0
408,3
409,0
410,0
411,0
412,0
413,7
414,0
415,2
416,0
417,3
418,3
419,3
420,3
421,4
422,3
423,6
424,0
425,0
426,7
427,0
428,0
429,6
430,3
431,2
432,8
433,2
434,6
435,2
436,0
437,1
438,0
439,1
440,0
441,0
442,0
443,5
444,3
445,0
446,1
447,0
448,1
449,0
450,0
451,9
452,6
453,6
454,0
455,0
456,1
457,4
458,4
459,0
460,0
461,3
462,0
463,6
464,0
465,1
466,3
467,4
468,3
469,0
470,4
471,0
472,0
473,1
474,2
475,4
476,0
477,0
478,1
479,0
480,4
481,6
482,1
483,0
484,3
485,4
486,0
487,7
488,2
489,0
490,0
491,3
492,0
493,3
494,0
495,0
496,0
497,0
498,0
499,2
500,0
501,3
502,2
503,0
504,6
505,3
506,1
507,6
508,0
509,0
510,0
511,3
512,0
513,0
514,0
515,0
516,1
517,3
518,1
519,4
520,0
521,3
522,0
523,0
524,2
525,4
526,6
527,0
528,2
529,2
530,0
531,0
532,0
533,0
534,4
535,0
536,1
537,0
538,3
539,4
540,2
541,1
542,3
543,6
544,2
545,5
546,0
547,0
548,0
549,2
550,3
551,1
552,0
553,0
554,0
555,3
556,3
557,4
558,1
559,2
560,0
561,0
562,2
563,3
564,0
565,3
566,5
567,1
568,5
569,4
570,0
571,0
572,0
573,0
574,3
575,0
576,0
577,2
578,4
579,0
580,1
581,3
582,0
583,0
584,0
585,5
586,0
587,0
588,1
589,3
590,2
591,0
592,0
593,0
594,1
595,0
596,2
597,0
598,3
599,1
600,5
601,0
602,6
603,0
604,3
605,0
606,4
607,0
608,1
609,6
610,4
611,0
612,4
613,6
614,0
615,0
616,0
617,1
618,3
619,6
620,2
621,3
622,6
623,4
624,4
625,0
626,5
627,0
628,5
629,4
630,0
631,3
632,3
633,1
634,1
635,8
636,3
637,0
638,0
639,5
640,0
641,3
642,3
643,0
644,0
645,0
646,3
647,0
648,0
649,3
650,3
651,0
652,4
653,3
654,1
655,2
656,5
657,0
658,0
659,4
660,0
661,0
662,2
663,2
664,4
665,0
666,4
667,3
668,0
669,1
670,1
671,0
672,3
673,0
674,1
675,5
676,3
677,2
678,0
679,1
680,0
681,4
682,7
683,1
684,3
685,0
686,4
687,3
688,5
689,4
690,2
691,5
692,6
694,0
695,0
696,3
697,5
698,0
699,1
700,3
701,4
702,2
703,5
704,2
705,2
706,5
707,2
708,3
709,6
710,5
711,0
712,5
713,0
714,0
715,1
716,0
717,0
718,3
719,5
720,0
721,2
722,3
723,1
724,7
725,3
726,0
727,0
728,4
729,4
730,0
731,3
732,0
733,1
734,3
735,0
736,0
737,3
738,2
739,4
740,0
741,1
743,0
744,0
745,0
746,0
747,5
748,6
749,5
750,3
751,0
752,5
753,0
754,2
755,1
756,1
757,3
758,1
759,8
760,1
761,4
762,2
763,5
764,8
765,4
766,2
767,0
768,0
769,0
770,1
771,3
772,5
773,0
774,1
775,3
776,2
777,1
778,4
779,4
780,5
781,7
782,8
783,0
784,0
785,2
786,0
787,0
788,2
789,5
790,1
791,0
792,0
793,0
795,4
796,4
797,2
798,0
799,3
800,3
801,6
802,6
803,4
804,5
805,5
806,2
807,4
808,6
809,4
810,3
811,4
812,3
813,1
814,2
815,1
816,0
817,0
818,2
819,5
820,7
821,2
822,3
823,0
824,3
825,6
826,3
827,5
828,5
829,0
830,0
831,6
832,1
833,2
834,1
835,0
836,5
837,2
838,0
839,2
840,2
841,0
842,0
843,6
844,1
845,6
846,1
847,0
848,4
849,4
850,4
851,0
852,5
853,2
854,1
855,5
856,5
857,3
858,5
859,0
860,4
861,0
862,4
863,3
864,0
865,4
866,2
867,2
868,6
869,3
870,5
871,4
872,0
873,0
874,5
875,5
876,5
877,1
878,0
879,8
880,5
881,5
882,4
883,2
884,0
885,2
886,2
887,3
888,1
889,0
890,1
891,1
892,5
893,1
894,0
895,4
896,2
897,3
898,0
899,3
900,3
901,2
902,5
903,4
904,5
905,5
906,5
907,1
908,5
909,0
910,2
911,0
912,0
913,6
914,4
915,3
916,5
917,4
918,0
919,1
920,4
921,3
922,1
923,2
924,0
925,0
926,3
927,2
928,4
929,5
930,0
931,3
932,1
933,1
934,6
935,1
936,5
937,3
938,4
939,1
940,5
941,4
942,0
943,2
944,2
945,3
946,3
947,5
948,4
949,5
950,0
951,3
952,1
953,0
954,5
955,5
956,0
957,0
958,5
959,0
960,0
961,0
962,5
963,0
964,0
965,3
966,3
967,5
968,5
969,5
970,3
971,4
972,0
973,5
974,5
975,5
976,3
977,2
978,2
979,0
980,0
981,0
982,3
983,1
984,0
985,0
986,0
987,0
988,1
989,5
990,3
991,4
992,5
993,1
994,3
995,8
996,5
997,0
998,0
999,0
1000,5
1001,3
1002,0
1003,3
1004,5
1005,2
1006,1
1007,1
1008,2
1009,3
1010,0
1011,4
1012,4
1013,1
1014,5
1015,1
1016,0
1017,1
1018,6
1019,0
1020,3
1021,2
1022,6
1023,6
1024,3
1025,0
1026,7
1027,5
1028,5
1029,3
1030,0
1031,0
1032,0
1033,1
1034,0
1035,3
1036,1
1037,3
1038,3
1039,5
1040,0
1041,5
1042,1
1043,4
1044,0
1045,0
1046,0
1047,9
1048,4
1049,2
1050,8
1051,3
1052,5
1053,3
1054,1
1055,4
1056,3
1057,6
1058,5
1059,3
1060,0
1061,3
1062,1
1063,6
1064,3
1065,1
1066,5
1067,0
1068,0
1069,0
1070,1
1071,0
1072,0
1073,0
1074,0
1075,5
1076,0
1077,0
1078,3
1079,0
1080,2
1081,2
1082,2
1083,8
1084,0
1085,0
1086,3
1087,0
1088,0
1089,2
1090,5
1091,5
1092,0
1093,6
1094,5
1095,0
1096,1
1097,5
1098,0
1099,0
1100,0
1101,3
1102,5
1103,5
1104,2
1105,2
1106,1
1107,0
1108,5
1109,1
1110,0
1111,0
1112,0
1113,1
1114,0
1115,8
1116,3
1117,1
1118,1
1119,1
1120,1
1121,0
1122,3
1123,5
1124,2
1125,0
1126,0
1127,9
1128,1
1129,0
1130,0
1131,4
1132,2
1133,2
1134,2
1135,0
1136,0
1137,2
1138,2
1139,0
1140,5
1141,6
1142,9
1143,1
1144,3
1145,2
1146,1
1147,0
1148,5
1149,1
1150,1
1151,0
1152,1
1153,0
1154,0
1155,0
1156,0
1157,1
1158,1
1159,0
1160,0
1161,3
1162,9
1163,0
1164,2
1165,0
1166,6
1167,1
1168,1
1169,1
1170,3
1171,5
1172,1
1173,7
1174,2
1175,5
1176,1
1177,5
1178,0
1179,4
1180,2
1181,0
1182,1
1183,0
1184,0
1185,0
1186,9
1187,2
1188,2
1189,7
1190,5
1191,0
1192,1
1193,2
1194,0
1195,0
1196,0
1197,1
1198,6
1199,5
1200,1
1201,1
1202,0
1203,2
1204,1
1205,3
1206,5
1207,7
1208,0
1209,1
1210,2
1211,1
1212,0
1213,1
1214,4
1215,6
1216,0
1217,1
1218,0
1219,2
1220,3
1221,2
1222,9
1223,0
1224,0
1225,1
1226,3
1227,3
1228,5
1229,7
1230,3
1231,0
1232,8
1233,2
1234,0
1235,5
1236,0
1237,4
1238,2
1239,0
1240,3
1241,0
1242,0
1243,1
1244,0
1245,6
1246,2
1247,0
1248,6
1249,1
1250,0
1251,0
1252,3
1253,3
1254,3
1255,1
1256,6
1257,0
1258,0
1259,6
1260,3
1261,0
1262,4
1263,3
1264,1
1265,0
1266,4
1267,1
1268,0
1269,1
1270,0
1271,0
1272,0
1273,0
1274,3
1275,0
1276,0
1277,0
1278,1
1279,6
1280,0
1281,0
1282,5
1283,2
1284,0
1285,0
1286,2
1287,2
1288,1
1289,1
1290,1
1291,5
1292,0
1293,1
1294,1
1295,2
1296,1
1297,2
1298,0
1299,2
1300,2
1301,3
1302,1
1303,3
1304,0
1305,0
1306,4
1307,0
1308,1
1309,3
1310,6
1311,0
1312,6
1313,0
1314,2
1315,0
1316,1
1317,0
1318,3
1319,0
1320,3
1321,0
1322,6
1323,3
1324,1
1325,3
1326,3
1327,1
1328,0
1329,1
1330,1
1331,2
1332,0
1333,0
1334,5
1335,2
1336,1
1337,1
1338,6
1339,5
1340,3
1341,0
1342,3
1343,2
1344,0
1346,1
1347,3
1348,1
1349,2
1350,0
1351,6
1352,3
1353,3
1354,2
1355,0
1356,0
1357,1
1358,3
1359,4
1360,4
1361,8
1362,1
1363,2
1364,2
1365,0
1366,2
1367,1
1368,0
1369,0
1370,2
1371,3
1372,0
1373,0
1374,3
1375,4
1376,0
1377,3
1378,0
1379,3
1380,0
1381,0
1382,0
1383,0
1384,2
1385,2
1386,3
1387,1
1388,6
1389,1
1390,1
1391,1
1392,0
1393,1
1394,3
1395,3
1396,1
1397,2
1398,1
1399,2
1400,2
1401,2
1402,3
1403,0
1404,2
1405,4
1406,1
1407,2
1408,0
1409,9
1410,3
1411,3
1412,0
1413,3
1414,0
1415,1
1416,7
1417,1
1418,4
1419,1
1420,0
1421,4
1422,2
1423,3
1424,1
1425,3
1426,0
1427,3
1428,0
1429,3
1430,2
1431,0
1432,2
1433,1
1434,2
1435,6
1436,6
1437,0
1438,0
1439,3
1440,3
1441,0
1442,1
1443,1
1444,2
1445,6
1446,1
1447,0
1448,0
1449,1
1450,3
1451,1
1452,3
1453,2
1454,2
1455,6
1456,2
1457,6
1458,6
1459,3
1460,1
1461,0
1462,6
1463,6
1464,8
1465,7
1466,1
1467,5
1468,3
1469,1
1470,2
1471,1
1472,0
1473,0
1474,1
1475,1
1476,2
1477,0
1478,2
1479,0
1480,8
1481,0
1482,3
1483,1
1484,0
1485,0
1486,1
1487,3
1488,0
1489,0
1490,1
1491,3
1492,6
1493,0
1494,0
1495,3
1496,4
1497,4
1498,6
1499,0
1500,4
1501,5
1502,3
1503,6
1504,1
1505,3
1506,4
1507,3
1508,2
1509,0
1510,2
1511,4
1512,4
1513,6
1514,7
1515,1
1516,3
1517,1
1518,3
1519,8
1520,2
1521,4
1522,3
1523,0
1524,0
1525,0
1526,1
1527,0
1528,1
1529,1
1530,0
1531,3
1532,1
1533,0
1534,0
1535,4
1536,0
1537,4
1538,1
1539,2
1540,6
1541,3
1542,1
1543,2
1544,4
1545,1
1546,2
1547,7
1548,0
1549,3
1550,6
1551,2
1552,0
1553,2
1554,3
1555,6
1556,3
1557,0
1558,0
1559,0
1560,0
1561,1
1562,0
1563,3
1564,6
1565,2
1566,3
1567,2
1568,0
1569,0
1570,0
1571,7
1572,6
1573,0
1574,1
1575,2
1576,3
1577,0
1578,3
1579,0
1580,1
1581,2
1582,2
1583,3
1584,1
1585,6
1586,0
1587,0
1588,1
1589,6
1590,0
1591,2
1592,0
1593,1
1594,0
1595,4
1596,4
1597,0
1598,4
1599,0
1600,3
1601,2
1602,1
1603,0
1604,0
1605,8
1606,2
1607,1
1608,1
1609,0
1610,8
1611,6
1612,3
1613,0
1614,0
1615,2
1616,3
1617,2
1618,1
1619,4
1620,2
1621,2
1622,3
1623,4
1624,2
1625,2
1626,0
1627,1
1628,0
1629,1
1630,2
1631,0
1632,1
1633,3
1634,0
1635,4
1636,0
1637,0
1638,7
1639,0
1640,4
1641,1
1642,2
1643,4
1644,3
1645,0
1646,2
1647,2
1648,0
1649,0
1650,1
1651,2
1652,7
1653,0
1654,2
1655,0
1656,0
1657,1
1658,6
1659,3
1660,0
1661,3
1662,4
1663,2
1664,3
1665,1
1666,1
1667,1
1668,2
1669,2
1670,4
1671,0
1672,2
1673,4
1674,1
1675,2
1676,4
1677,2
1678,0
1679,5
1680,3
1681,2
1682,2
1683,3
1684,1
1685,0
1686,6
1687,1
1688,6
1689,1
1690,4
1691,2
1692,0
1693,7
1694,1
1695,1
1696,2
1697,3
1698,4
1699,6
1700,0
1701,0
1702,0
1703,2
1704,2
1705,0
1706,3
1707,0
1708,6
1709,0
1710,3
1711,0
1712,1
1713,0
1714,0
1715,0
1716,2
1717,2
1718,2
1719,4
1720,3
1721,3
1722,4
1723,3
1724,0
1725,4
1726,3
1727,3
1728,0
1729,0
1730,3
1731,4
1732,2
1733,6
1734,1
1735,6
1736,8
1737,0
1738,0
1739,1
1740,3
1741,8
1742,6
1743,6
1744,4
1745,1
1746,3
1747,0
1748,6
1749,0
1750,4
1751,3
1752,0
1753,1
1754,3
1755,2
1756,6
1757,2
1758,5
1759,0
1760,4
1761,0
1762,0
1763,0
1764,2
1765,3
1766,2
1767,0
1768,3
1769,3
1770,0
1771,4
1772,4
1773,3
1774,0
1775,4
1776,0
1777,3
1778,3
1779,2
1780,3
1781,1
1782,4
1783,2
1784,0
1785,3
1786,1
1787,2
1788,0
1789,6
1790,3
1791,3
1792,1
1793,1
1794,2
1795,3
1796,4
1797,3
1798,2
1799,0
1800,0
1801,1
1802,3
1803,6
1804,3
1805,0
1806,0
1807,6
1808,3
1809,0
1810,0
1811,2
1812,0
1813,0
1814,0
1815,4
1816,4
1817,4
1818,4
1819,3
