cellsNuc,leiden
1.0,1
2.0,6
3.0,1
4.0,1
5.0,1
6.0,4
7.0,1
8.0,2
9.0,1
10.0,1
11.0,3
12.0,4
13.0,1
14.0,4
15.0,2
16.0,1
17.0,7
18.0,1
19.0,1
20.0,2
21.0,1
22.0,4
23.0,1
24.0,1
25.0,6
26.0,6
28.0,1
29.0,4
30.0,1
31.0,1
32.0,1
33.0,6
34.0,4
35.0,4
36.0,1
37.0,1
38.0,6
39.0,4
40.0,4
41.0,3
42.0,2
43.0,1
44.0,1
45.0,1
46.0,2
47.0,1
48.0,1
49.0,1
50.0,2
51.0,2
52.0,1
53.0,2
54.0,7
55.0,1
56.0,1
57.0,1
58.0,4
59.0,2
60.0,2
61.0,1
62.0,1
63.0,4
64.0,7
65.0,1
66.0,1
67.0,1
68.0,4
69.0,1
70.0,6
71.0,2
72.0,7
73.0,0
74.0,0
75.0,3
76.0,1
77.0,1
78.0,2
79.0,1
80.0,4
81.0,1
82.0,1
83.0,3
84.0,0
85.0,1
86.0,0
87.0,4
88.0,2
89.0,1
90.0,1
91.0,7
92.0,1
93.0,3
94.0,1
95.0,3
96.0,6
97.0,2
98.0,7
99.0,4
100.0,0
101.0,3
102.0,2
103.0,4
104.0,1
105.0,0
106.0,2
107.0,2
108.0,3
109.0,6
110.0,0
111.0,1
112.0,3
113.0,4
114.0,3
115.0,7
116.0,5
117.0,0
118.0,6
119.0,3
120.0,0
121.0,6
122.0,5
123.0,1
124.0,3
125.0,1
126.0,5
127.0,5
128.0,4
129.0,7
130.0,1
131.0,0
132.0,1
133.0,2
134.0,1
135.0,3
136.0,7
137.0,7
138.0,1
139.0,8
140.0,8
141.0,0
142.0,2
143.0,6
144.0,5
145.0,7
146.0,11
147.0,4
148.0,2
149.0,0
150.0,0
151.0,6
152.0,0
153.0,1
154.0,6
155.0,2
156.0,6
157.0,1
158.0,0
159.0,1
160.0,2
161.0,8
162.0,4
163.0,6
164.0,1
165.0,2
166.0,1
167.0,8
168.0,6
169.0,1
170.0,4
171.0,7
172.0,0
173.0,0
174.0,11
175.0,1
176.0,0
177.0,0
178.0,0
179.0,7
180.0,7
181.0,4
182.0,1
183.0,0
184.0,5
185.0,1
186.0,7
187.0,2
188.0,0
189.0,7
190.0,3
191.0,1
192.0,1
193.0,4
194.0,8
195.0,0
196.0,4
197.0,7
198.0,0
199.0,3
200.0,3
201.0,5
202.0,5
203.0,4
204.0,0
205.0,2
206.0,0
207.0,1
208.0,0
209.0,2
210.0,6
211.0,1
212.0,7
213.0,8
214.0,8
215.0,8
216.0,2
217.0,0
218.0,3
219.0,2
220.0,1
221.0,3
222.0,0
223.0,2
224.0,1
225.0,5
226.0,7
227.0,3
228.0,2
229.0,6
230.0,2
231.0,1
232.0,2
233.0,4
234.0,3
235.0,0
236.0,10
237.0,0
238.0,1
239.0,6
240.0,6
241.0,5
242.0,2
243.0,1
244.0,1
245.0,0
246.0,6
247.0,2
248.0,0
249.0,3
250.0,0
251.0,4
252.0,0
253.0,0
254.0,10
255.0,3
256.0,0
257.0,3
258.0,1
259.0,0
260.0,0
261.0,0
262.0,6
263.0,0
264.0,3
265.0,0
266.0,0
267.0,1
268.0,0
269.0,1
270.0,1
271.0,3
272.0,0
273.0,3
274.0,0
275.0,7
276.0,2
277.0,0
278.0,1
279.0,0
280.0,11
281.0,1
282.0,3
283.0,5
284.0,1
285.0,1
286.0,0
287.0,1
288.0,1
289.0,3
290.0,6
291.0,0
292.0,1
293.0,6
294.0,7
295.0,0
296.0,0
297.0,0
298.0,11
299.0,2
300.0,1
301.0,0
302.0,4
303.0,7
304.0,2
305.0,0
306.0,1
307.0,0
308.0,0
309.0,1
310.0,0
311.0,2
312.0,2
313.0,5
314.0,0
315.0,2
316.0,0
317.0,7
318.0,7
319.0,0
320.0,0
321.0,0
322.0,2
323.0,2
324.0,0
325.0,3
326.0,11
327.0,6
328.0,0
329.0,0
330.0,8
331.0,0
332.0,0
333.0,0
334.0,0
335.0,0
336.0,7
337.0,4
338.0,6
339.0,2
340.0,0
341.0,4
342.0,4
343.0,10
344.0,3
345.0,0
346.0,3
347.0,0
348.0,4
349.0,0
350.0,2
351.0,1
352.0,9
353.0,1
354.0,0
355.0,2
356.0,0
357.0,0
358.0,4
359.0,8
360.0,2
361.0,8
362.0,0
363.0,2
364.0,2
365.0,1
366.0,11
367.0,0
368.0,0
369.0,3
370.0,2
371.0,6
372.0,2
373.0,0
374.0,5
375.0,11
376.0,2
377.0,8
378.0,1
379.0,1
380.0,0
381.0,0
382.0,3
383.0,0
384.0,10
385.0,0
386.0,2
387.0,2
388.0,3
389.0,0
390.0,2
391.0,3
392.0,2
393.0,0
395.0,0
396.0,4
397.0,6
398.0,0
399.0,0
400.0,2
401.0,0
403.0,3
404.0,0
405.0,0
406.0,1
407.0,0
408.0,2
409.0,3
410.0,0
411.0,0
412.0,0
413.0,8
414.0,0
415.0,2
416.0,0
417.0,2
418.0,2
419.0,2
420.0,2
421.0,1
422.0,2
423.0,6
424.0,0
425.0,0
426.0,8
427.0,0
428.0,0
429.0,6
430.0,2
431.0,1
432.0,10
433.0,0
434.0,6
435.0,3
436.0,0
437.0,4
438.0,0
439.0,4
440.0,0
441.0,0
442.0,0
443.0,7
444.0,2
445.0,3
447.0,0
448.0,4
449.0,0
450.0,0
451.0,4
452.0,6
453.0,6
454.0,0
455.0,0
456.0,1
457.0,1
458.0,1
459.0,0
460.0,0
461.0,3
462.0,1
463.0,6
464.0,3
466.0,2
467.0,1
468.0,2
469.0,0
470.0,0
471.0,0
472.0,0
473.0,1
474.0,2
475.0,1
476.0,0
477.0,0
478.0,1
479.0,0
480.0,1
481.0,6
483.0,0
484.0,2
485.0,1
486.0,0
487.0,8
488.0,5
489.0,0
490.0,0
491.0,2
492.0,3
493.0,2
494.0,3
495.0,0
496.0,0
497.0,0
498.0,0
499.0,0
500.0,0
501.0,2
502.0,0
503.0,0
504.0,6
505.0,2
506.0,3
507.0,6
508.0,0
509.0,0
510.0,0
511.0,2
512.0,0
513.0,0
514.0,0
515.0,0
516.0,4
517.0,2
519.0,0
520.0,0
521.0,2
522.0,0
523.0,0
524.0,5
526.0,6
527.0,3
528.0,5
529.0,3
530.0,0
531.0,3
532.0,0
533.0,0
534.0,3
535.0,3
536.0,4
537.0,0
538.0,2
539.0,1
540.0,5
541.0,1
542.0,2
543.0,6
544.0,0
545.0,7
546.0,0
547.0,0
548.0,0
549.0,0
550.0,0
551.0,1
552.0,0
553.0,0
554.0,0
555.0,2
556.0,2
557.0,1
558.0,6
559.0,5
560.0,0
561.0,0
562.0,0
563.0,2
564.0,0
565.0,2
566.0,7
567.0,3
569.0,1
570.0,0
571.0,3
572.0,0
573.0,0
574.0,2
575.0,3
576.0,0
577.0,3
578.0,1
579.0,1
580.0,4
581.0,2
582.0,0
583.0,0
584.0,1
586.0,0
587.0,0
589.0,0
590.0,1
591.0,1
592.0,0
593.0,0
595.0,1
596.0,5
597.0,0
598.0,2
599.0,3
600.0,7
601.0,0
602.0,6
603.0,0
604.0,2
605.0,0
606.0,0
607.0,3
608.0,1
609.0,6
610.0,1
611.0,1
612.0,1
613.0,6
614.0,0
615.0,0
616.0,0
617.0,4
618.0,2
619.0,6
620.0,0
621.0,2
622.0,5
623.0,1
624.0,1
625.0,3
626.0,7
628.0,7
629.0,1
630.0,0
631.0,2
632.0,2
633.0,1
634.0,1
635.0,10
636.0,2
637.0,0
638.0,3
639.0,7
640.0,3
641.0,2
642.0,2
643.0,3
644.0,0
645.0,3
646.0,2
647.0,0
648.0,0
649.0,2
650.0,2
651.0,0
652.0,0
653.0,3
654.0,1
655.0,0
657.0,3
658.0,0
659.0,1
660.0,0
661.0,0
662.0,5
663.0,5
664.0,1
665.0,0
666.0,1
667.0,2
668.0,0
669.0,1
670.0,3
671.0,0
672.0,2
673.0,0
674.0,4
675.0,7
676.0,2
677.0,0
678.0,0
679.0,3
680.0,0
681.0,0
682.0,8
683.0,2
684.0,2
685.0,0
686.0,0
687.0,2
688.0,7
689.0,1
690.0,5
691.0,7
692.0,6
694.0,0
695.0,0
696.0,2
697.0,9
698.0,3
699.0,1
700.0,2
701.0,3
702.0,3
703.0,9
704.0,5
705.0,2
707.0,5
708.0,2
709.0,6
710.0,7
711.0,0
712.0,8
713.0,0
714.0,0
715.0,3
716.0,0
717.0,0
718.0,2
719.0,8
720.0,0
721.0,5
722.0,2
723.0,1
724.0,8
725.0,2
726.0,0
727.0,0
728.0,1
729.0,1
730.0,0
731.0,0
732.0,0
733.0,1
734.0,0
735.0,3
736.0,3
737.0,2
738.0,3
739.0,2
740.0,0
741.0,7
743.0,0
744.0,0
745.0,0
747.0,7
748.0,6
749.0,7
750.0,2
751.0,0
752.0,9
753.0,0
754.0,0
755.0,1
756.0,3
757.0,2
758.0,1
759.0,10
760.0,1
761.0,1
762.0,1
763.0,7
764.0,10
765.0,3
766.0,0
767.0,0
768.0,0
769.0,6
770.0,1
771.0,2
772.0,7
773.0,3
774.0,8
775.0,2
776.0,5
777.0,4
778.0,1
